locality;caterpillar;parasitoid
Utai;Mellea ordinaria complex;ICHN065
Utai;Mellea ordinaria complex;ICHN065
Utai;Mellea ordinaria complex;ICHN065
Utai;Mellea sp. AAI1456;ICHN065
Utai;Pharambara splendida;ICHN065
Utai;Mellea ordinaria complex;ICHN065
Utai;Mellea ordinaria complex;ICHN065
Utai;Mellea ordinaria complex;ICHN065
Utai;Mellea ordinaria complex;ICHN065
Morox;Talanga excelsalis;ICHN065
Yapsiei;Talanga excelsalis;ICHN065
Yapsiei;Talanga excelsalis;ICHN065
Utai;Mellea ordinaria complex;ICHN065
Utai;Talanga deliciosa;ICHN065
Elem;Meekiaria sp. BOLD:AAA3374;ICHN065
Yapsiei;Meekiaria sp. AAA3378;ICHN065
Utai;Glyphodes margaritaria;ICHN065
Utai;Glyphodes margaritaria;ICHN065
Morox;Coelorhyncidia nitidalis;ICHN067
Morox;Meekiaria purpurea;ICHN067
Morox;Meekiaria sp. BOLD:AAA3374;ICHN067
Morox;Meekiaria purpurea;ICHN067
Morox;Meekiaria purpurea;ICHN067
Morox;Coelorhyncidia nitidalis;ICHN067
Morox;Meekiaria nr. lignea;ICHN067
Morox;Meekiaria sp. BOLD:AAA3374;ICHN067
Morox;Coelorhyncidia nitidalis;ICHN067
Morox;Meekiaria sp. BOLD:AAA3374;ICHN067
Morox;Meekiaria sp. BOLD:AAA3374;ICHN067
Morox;Meekiaria sp. BOLD:AAA3374;ICHN067
Morox;Meekiaria sp. BOLD:AAA3374;ICHN067
Morox;Meekiaria sp. AAA3375;ICHN067
Niksek;Paraphomia disjuncta;ICHN068
Wanang;Paraphomia disjuncta;ICHN068
Wanang;Paraphomia disjuncta;ICHN068
Niksek;Paraphomia disjuncta;ICHN068
Niksek;Paraphomia disjuncta;ICHN068
Niksek;Paraphomia disjuncta;ICHN068
Yapsiei;Paraphomia disjuncta;ICHN068
Wanang;Paraphomia disjuncta;ICHN068
Yapsiei;Paraphomia disjuncta;ICHN068
Yapsiei;Meekiaria purpurea;ICHN071
Yapsiei;Talanga excelsalis;ICHN071
Yapsiei;Meekiaria purpurea;ICHN071
Yapsiei;Choreutis lutescens;ICHN071
Yapsiei;Meekiaria sp. BOLD:AAA3374;ICHN071
Utai;Meekiaria purpurea;ICHN071
Yapsiei;Meekiaria purpurea;ICHN071
Yapsiei;Meekiaria purpurea;ICHN071
Yapsiei;Meekiaria purpurea;ICHN071
Yapsiei;Meekiaria purpurea;ICHN071
Morox;Talanga excelsalis;ICHN071
Morox;Brenthia sp. AAI3835;ICHN074
Morox;Brenthia JR37;ICHN074
Morox;Brenthia JR37;ICHN074
Morox;Brenthia JR37;ICHN074
Morox;Brenthia JR37;ICHN074
Morox;Brenthia JR37;ICHN074
Morox;Brenthia JR37;ICHN074
Morox;Brenthia sp. AAI3835;ICHN074
Morox;Brenthia sp. AAI3835;ICHN074
Morox;Brenthia JR37;ICHN074
Morox;Brenthia JR37;ICHN074
Morox;Brenthia JR37;ICHN074
Morox;Brenthia JR37;ICHN074
Morox;Brenthia JR54;ICHN074
Morox;Brenthia JR37;ICHN074
Morox;Brenthia JR37;ICHN074
Morox;Brenthia JR37;ICHN074
Morox;Brenthia JR37;ICHN074
Morox;Brenthia JR37;ICHN074
Morox;Brenthia JR37;ICHN074
Morox;Brenthia JR54;ICHN074
Morox;Brenthia JR37;ICHN074
Morox;Brenthia JR37;ICHN074
Morox;Brenthia JR37;ICHN074
Morox;Brenthia JR62;ICHN074
Utai;Talanga excelsalis;ICHN078
Utai;Talanga excelsalis;ICHN078
Utai;Talanga excelsalis;ICHN078
Utai;Talanga excelsalis;ICHN078
Yapsiei;Dichomeris ochreoviridella;ICHN081
Utai;Glyphodes margaritaria;ICHN081
Utai;Tamba kebea;ICHN081
Utai;Tamba kebea;ICHN084
Utai;Tamba kebea;ICHN084
Niksek;Addaea pusilla;ICHN166
Niksek;Addaea pusilla;ICHN166
Niksek;Addaea pusilla;ICHN166
Niksek;Addaea pusilla;ICHN166
Yapsiei;Addaea pusilla;ICHN166
Wamangu;Cirrhochrista xanthographis;ICHN166
Niksek;Mellea ordinaria complex;ICHN167
Yapsiei;Mellea ordinaria complex;ICHN167
Yapsiei;Mellea ordinaria complex;ICHN167
Yapsiei;Mellea ordinaria complex;ICHN167
Yapsiei;Mellea ordinaria complex;ICHN167
Utai;Mellea ordinaria complex;ICHN167
Utai;Mellea ordinaria complex;ICHN167
Utai;Mellea ordinaria complex;ICHN167
Niksek;Mellea ordinaria complex;ICHN167
Yapsiei;Mellea sp. AAI1456;ICHN167
Yapsiei;Addaea pusilla;ICHN167
Utai;Choreutis cf. anthorma;ICHN167
Utai;Mellea ordinaria complex;ICHN167
Utai;Pharambara splendida;ICHN167
Niksek;Mellea sp. AAI1456;ICHN167
Yapsiei;Mellea ordinaria complex;ICHN167
Yapsiei;Mellea ordinaria complex;ICHN167
Niksek;Mellea ordinaria complex;ICHN167
Yapsiei;Meekiaria sp. BOLD:AAA3374;ICHN170
Yapsiei;Meekiaria purpurea;ICHN170
Yapsiei;Meekiaria purpurea;ICHN170
Yapsiei;Choreutis lutescens;ICHN170
Yapsiei;Coelorhyncidia nitidalis;ICHN170
Yapsiei;Coelorhyncidia nitidalis;ICHN170
Yapsiei;Meekiaria sp. BOLD:AAA3374;ICHN170
Utai;Meekiaria purpurea;ICHN194
Utai;Meekiaria purpurea;ICHN194
Utai;Meekiaria sp. BOLD:AAA3374;ICHN194
Utai;Meekiaria sp. BOLD:AAA3374;ICHN194
Utai;Coelorhyncidia nitidalis;ICHN194
Morox;Xenothictis gnetivora;ICHN198
Wanang;Xenothictis gnetivora;ICHN198
Wanang;Xenothictis gnetivora;ICHN198
Yapsiei;Idiophantis n. sp. AAB7064;ICHN198
Ohu1;Mellea ordinaria complex;MICR013
Ohu1;Mellea nitida;MICR013
Ohu2;Mellea nitida;MICR013
Ohu1;Mellea nitida;MICR013
Ohu1;Mellea ordinaria complex;MICR013
Ohu1;Mellea ordinaria complex;MICR013
Ohu1;Mellea nitida;MICR013
Ohu1;Jodis albifusa;MICR013
Ohu2;Mellea nitida;MICR013
Ohu1;Dichomeris sp. XXXX068;MICR013
Wanang;Choreutis basalis;MICR014
Wanang;Mellea ordinaria complex;MICR014
Wanang;Choreutis cf. anthorma;MICR014
Wanang;Choreutis cf. anthorma;MICR014
Wanang;Choreutis cf. anthorma;MICR014
Elem;Choreutis cf. anthorma;MICR014
Elem;Choreutis cf. anthorma;MICR014
Elem;Choreutis cf. anthorma;MICR014
Elem;Choreutis basalis;MICR014
Elem;Choreutis basalis;MICR014
Elem;Choreutis cf. anthorma;MICR014
Elem;Choreutis cf. anthorma;MICR014
Elem;Choreutis basalis;MICR014
Elem;Choreutis cf. anthorma;MICR014
Elem;Choreutis cf. anthorma;MICR014
Ohu2;Choreutis cf. anthorma;MICR014
Ohu2;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu2;Unadophanes trissomita;MICR014
Niksek;Choreutis cf. anthorma;MICR014
Niksek;Choreutis basalis;MICR014
Niksek;Choreutis basalis;MICR014
Niksek;Choreutis basalis;MICR014
Niksek;Choreutis cf. anthorma;MICR014
Niksek;Choreutis JR5;MICR014
Niksek;Choreutis JR5;MICR014
Niksek;Choreutis basalis;MICR014
Utai;Choreutis cf. anthorma;MICR014
Utai;Choreutis cf. anthorma;MICR014
Utai;Choreutis cf. anthorma;MICR014
Utai;Choreutis cf. anthorma;MICR014
Utai;Choreutis basalis;MICR014
Utai;Choreutis cf. anthorma;MICR014
Utai;Choreutis cf. anthorma;MICR014
Utai;Choreutis cf. anthorma;MICR014
Utai;Choreutis cf. anthorma;MICR014
Utai;Choreutis cf. anthorma;MICR014
Utai;Choreutis cf. anthorma;MICR014
Utai;Choreutis cf. anthorma;MICR014
Utai;Choreutis cf. anthorma;MICR014
Utai;Choreutis basalis;MICR014
Ohu2;Choreutis cf. anthorma;MICR014
Ohu2;Choreutis cf. anthorma;MICR014
Ohu2;Choreutis cf. anthorma;MICR014
Ohu2;Choreutis cf. anthorma;MICR014
Ohu2;Choreutis cf. anthorma;MICR014
Ohu2;Choreutis cf. anthorma;MICR014
Ohu2;Choreutis cf. anthorma;MICR014
Ohu2;Choreutis cf. anthorma;MICR014
Ohu2;Choreutis cf. anthorma;MICR014
Ohu2;Choreutis cf. anthorma;MICR014
Ohu2;Choreutis cf. anthorma;MICR014
Ohu2;Choreutis cf. anthorma;MICR014
Ohu2;Choreutis cf. anthorma;MICR014
Ohu2;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu2;Choreutis cf. anthorma;MICR014
Ohu2;Choreutis cf. anthorma;MICR014
Ohu2;Choreutis cf. anthorma;MICR014
Ohu2;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu2;Choreutis cf. anthorma;MICR014
Ohu2;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu2;Choreutis cf. anthorma;MICR014
Ohu2;Choreutis basalis;MICR014
Ohu2;Choreutis cf. anthorma;MICR014
Ohu2;Choreutis cf. anthorma;MICR014
Ohu2;Choreutis cf. anthorma;MICR014
Ohu2;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis basalis;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Morox;Choreutis cf. anthorma;MICR014
Morox;Choreutis cf. anthorma;MICR014
Morox;Choreutis cf. anthorma;MICR014
Morox;Mellea ordinaria complex;MICR014
Ohu2;Choreutis cf. anthorma;MICR014
Yapsiei;Choreutis basalis;MICR014
Utai;Talanga sexpunctalis complex;MICR014
Utai;Glyphodes margaritaria;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Brenthia JR54;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Wamangu;Choreutis cf. anthorma;MICR014
Morox;Choreutis lutescens;MICR014
Morox;Choreutis cf. anthorma;MICR014
Morox;Choreutis cf. anthorma;MICR014
Wanang;Choreutis basalis;MICR014
Wanang;Choreutis cf. anthorma;MICR014
Wanang;Choreutis cf. anthorma;MICR014
Wanang;Choreutis cf. anthorma;MICR014
Wanang;Choreutis cf. anthorma;MICR014
Elem;Choreutis cf. anthorma;MICR014
Elem;Choreutis cf. anthorma;MICR014
Elem;Choreutis cf. anthorma;MICR014
Elem;Choreutis cf. anthorma;MICR014
Niksek;Brenthia JR54;MICR014
Niksek;Choreutis lutescens;MICR014
Niksek;Choreutis JR06;MICR014
Niksek;Choreutis cf. anthorma;MICR014
Niksek;Choreutis JR5;MICR014
Niksek;Choreutis basalis;MICR014
Utai;Choreutis basalis;MICR014
Utai;Choreutis cf. anthorma;MICR014
Utai;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu2;Choreutis basalis;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu1;Choreutis cf. anthorma;MICR014
Ohu2;Choreutis lutescens;MICR014
Ohu2;Choreutis cf. anthorma;MICR014
Ohu2;Choreutis cf. anthorma;MICR014
Ohu2;Choreutis cf. anthorma;MICR014
Ohu1;Brenthia JR54;MICR014
Wamangu;Choreutis cf. anthorma;MICR014
Ohu2;Unadophanes trissomita;MICR031
Ohu1;Unadophanes trissomita;MICR031
Ohu1;Unadophanes trissomita;MICR031
Ohu1;Unadophanes trissomita;MICR031
Ohu1;Unadophanes trissomita;MICR031
Ohu1;Unadophanes trissomita;MICR031
Ohu1;Unadophanes trissomita;MICR031
Ohu1;Unadophanes trissomita;MICR031
Ohu1;Unadophanes trissomita;MICR031
Ohu2;Unadophanes trissomita;MICR031
Wamangu;Unadophanes trissomita;MICR031
Morox;Unadophanes trissomita;MICR031
Morox;Mellea nitida;MICR031
Utai;Unadophanes trissomita;MICR031
Elem;Unadophanes trissomita;MICR031
Elem;Unadophanes trissomita;MICR031
Niksek;Unadophanes trissomita;MICR031
Utai;Unadophanes trissomita;MICR031
Ohu1;Dichomeris sp. XXXX068;MICR031
Ohu1;Unadophanes trissomita;MICR031
Ohu1;Unadophanes trissomita;MICR031
Wamangu;Unadophanes trissomita;MICR031
Wamangu;Brenthia JR22;MICR031
Morox;Unadophanes trissomita;MICR031
Morox;Dichomeris sp. XXXX068;MICR031
Morox;Unadophanes trissomita;MICR031
Niksek;Addaea nr. probolopsis;MICR034
Niksek;Addaea nr. probolopsis;MICR034
Niksek;Addaea nr. probolopsis;MICR034
Niksek;Addaea pusilla;MICR034
Morox;Orthaga nr. percnodes;MICR037
Ohu2;Orthaga nr. percnodes;MICR037
Morox;Orthaga nr. percnodes;MICR037
Morox;Agrotera ignepictoides;MICR037
Elem;Brenthia JR34;MICR038
Elem;Brenthia JR54;MICR038
Elem;Brenthia JR62;MICR038
Elem;Brenthia JR62;MICR038
Elem;Choreutis lutescens;MICR038
Elem;Brenthia JR54;MICR038
Elem;Brenthia JR54;MICR038
Elem;Brenthia JR54;MICR038
Elem;Brenthia JR54;MICR038
Elem;Brenthia JR54;MICR038
Elem;Brenthia JR54;MICR038
Elem;Brenthia JR32;MICR038
Elem;Brenthia JR54;MICR038
Elem;Brenthia JR54;MICR038
Elem;Brenthia JR54;MICR038
Elem;Brenthia JR54;MICR038
Elem;Brenthia JR54;MICR038
Elem;Brenthia JR54;MICR038
Elem;Brenthia JR54;MICR038
Elem;Brenthia JR54;MICR038
Elem;Brenthia JR32;MICR038
Elem;Brenthia JR54;MICR038
Elem;Brenthia JR54;MICR038
Elem;Brenthia JR54;MICR038
Elem;Brenthia JR54;MICR038
Yapsiei;Brenthia JR62;MICR038
Yapsiei;Choreutis basalis;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu2;Brenthia JR32;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu2;Brenthia sp. AAC1202;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu2;Brenthia JR32;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu1;Brenthia JR54;MICR038
Ohu1;Brenthia JR54;MICR038
Ohu1;Brenthia JR32;MICR038
Ohu1;Brenthia JR54;MICR038
Ohu1;Brenthia JR54;MICR038
Ohu1;Brenthia JR54;MICR038
Ohu1;Brenthia JR54;MICR038
Ohu1;Brenthia JR54;MICR038
Ohu1;Brenthia JR54;MICR038
Ohu1;Brenthia JR54;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu1;Choreutis JR5;MICR038
Ohu1;Brenthia JR54;MICR038
Ohu1;Brenthia JR54;MICR038
Ohu1;Brenthia JR54;MICR038
Ohu1;Brenthia JR54;MICR038
Ohu1;Brenthia JR54;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu1;Choreutis JR5;MICR038
Ohu1;Choreutis JR5;MICR038
Ohu1;Brenthia JR54;MICR038
Ohu1;Brenthia JR54;MICR038
Ohu1;Brenthia JR54;MICR038
Ohu1;Brenthia JR54;MICR038
Ohu1;Choreutis JR06;MICR038
Ohu1;Choreutis JR5;MICR038
Ohu1;Choreutis JR5;MICR038
Ohu1;Brenthia JR54;MICR038
Ohu1;Brenthia JR54;MICR038
Ohu1;Brenthia JR54;MICR038
Ohu1;Brenthia JR54;MICR038
Ohu1;Brenthia JR54;MICR038
Ohu1;Brenthia sp. AAC1202;MICR038
Ohu1;Brenthia JR54;MICR038
Ohu1;Brenthia JR54;MICR038
Ohu1;Brenthia sp. AAC1202;MICR038
Ohu1;Brenthia JR54;MICR038
Ohu1;Brenthia JR54;MICR038
Ohu1;Brenthia JR54;MICR038
Ohu1;Brenthia JR32;MICR038
Ohu1;Brenthia JR54;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu2;Brenthia JR32;MICR038
Ohu2;Brenthia JR32;MICR038
Ohu2;Brenthia JR32;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu2;Brenthia sp. AAC1202;MICR038
Ohu2;Brenthia sp. AAC1202;MICR038
Ohu2;Brenthia JR32;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu2;Brenthia JR32;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu2;Brenthia JR32;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu2;Brenthia JR62;MICR038
Ohu1;Brenthia JR54;MICR038
Ohu1;Brenthia JR54;MICR038
Ohu1;Brenthia JR34;MICR038
Ohu1;Brenthia JR32;MICR038
Ohu1;Brenthia JR54;MICR038
Ohu1;Brenthia JR32;MICR038
Ohu1;Brenthia JR54;MICR038
Ohu1;Brenthia JR32;MICR038
Ohu1;Brenthia JR32;MICR038
Ohu1;Brenthia sp. AAC1202;MICR038
Ohu1;Brenthia JR54;MICR038
Ohu1;Brenthia JR54;MICR038
Ohu1;Brenthia sp. AAC1202;MICR038
Ohu1;Brenthia JR54;MICR038
Ohu2;Brenthia JR54;MICR038
Elem;Brenthia JR54;MICR038
Elem;Brenthia JR54;MICR038
Elem;Brenthia JR54;MICR038
Elem;Brenthia JR32;MICR038
Elem;Brenthia JR54;MICR038
Yapsiei;Brenthia JR62;MICR038
Ohu1;Choreutis JR5;MICR038
Elem;Brenthia JR54;MICR038
Elem;Brenthia JR62;MICR038
Elem;Brenthia JR54;MICR038
Niksek;Choreutis cf. anthorma;MICR038
Niksek;Brenthia JR54;MICR038
Yapsiei;Brenthia JR62;MICR038
Yapsiei;Brenthia JR62;MICR038
Utai;Choreutis basalis;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu1;Brenthia JR54;MICR038
Ohu1;Brenthia JR54;MICR038
Ohu1;Choreutis JR5;MICR038
Ohu1;Choreutis JR06;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu2;Brenthia JR62;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu2;Brenthia JR54;MICR038
Ohu1;Brenthia JR32;MICR038
Ohu1;Brenthia JR32;MICR038
Ohu1;Brenthia JR32;MICR038
Ohu1;Brenthia JR54;MICR038
Wamangu;Choreutis cf. anthorma;MICR038
Morox;Brenthia JR62;MICR038
Morox;Brenthia JR62;MICR038
Morox;Brenthia JR54;MICR038
Ohu2;Brenthia JR34;MICR038
Elem;Brenthia JR54;MICR038
Ohu2;Talanga polyzonalis;MICR051
Ohu2;Talanga polyzonalis;MICR051
Ohu2;Talanga polyzonalis;MICR051
Ohu2;Homona mermerodes;MICR069
Ohu2;Ophiorrhabda deceptor;MICR069
Ohu2;Adoxophyes thoracica;MICR069
Ohu2;Ophiorrhabda deceptor;MICR069
Ohu1;Ophiorrhabda deceptor;MICR069
Ohu2;Adoxophyes thoracica;MICR069
Ohu2;Adoxophyes n. sp. nr. orana;MICR069
Morox;Agrotera nr. effertalis;MICR069
Morox;Ophiorrhabda deceptor;MICR069
Elem;Ophiorrhabda deceptor;MICR069
Ohu2;Adoxophyes templana complex;MICR069
Ohu2;Dudua n. sp. nr. aprobola;MICR069
Ohu2;Ophiorrhabda deceptor;MICR069
Ohu2;Loboschiza sp. AAI1072;MICR069
Ohu1;Tamba kebea;MICR069
Ohu1;Brenthia sp. AAF6821;MICR084
Ohu1;Brenthia sp. AAL5584;MICR084
Ohu1;Brenthia JR22;MICR084
Ohu1;Brenthia JR22;MICR084
Ohu2;Brenthia sp. AAF6821;MICR084
Ohu1;Brenthia JR22;MICR084
Ohu2;Brenthia JR22;MICR084
Ohu2;Brenthia JR22;MICR084
Ohu2;Talanga excelsalis;MICR088
Ohu2;Talanga excelsalis;MICR088
Ohu1;Talanga excelsalis;MICR088
Ohu1;Talanga excelsalis;MICR088
Ohu1;Talanga excelsalis;MICR088
Ohu2;Dichomeris sp. XXXX068;MICR101
Ohu2;Dichomeris sp. XXXX068;MICR101
Ohu1;Brenthia JR37;MICR101
Ohu1;Dichomeris sp. XXXX068;MICR101
Ohu1;Dichomeris sp. XXXX068;MICR101
Ohu1;Dichomeris sp. XXXX068;MICR101
Ohu1;Dichomeris sp. XXXX068;MICR101
Ohu1;Dichomeris sp. XXXX068;MICR101
Ohu1;Dichomeris sp. XXXX068;MICR101
Ohu1;Dichomeris sp. XXXX068;MICR101
Ohu1;Brenthia JR37;MICR101
Ohu1;Choreutis cf. anthorma;MICR101
Ohu2;Brenthia JR37;MICR101
Ohu2;Brenthia JR37;MICR101
Ohu2;Dichomeris sp. XXXX068;MICR101
Ohu1;Dichomeris sp. XXXX068;MICR101
Ohu1;Choreutis cf. anthorma;MICR101
Ohu1;Choreutis cf. anthorma;MICR101
Ohu1;Choreutis lutescens;MICR101
Ohu1;Chamaita pr. metamelaena;MICR101
Ohu2;Brenthia JR37;MICR101
Ohu2;Brenthia JR37;MICR101
Ohu2;Choreutis cf. anthorma;MICR101
Ohu1;Choreutis cf. anthorma;MICR101
Ohu1;Dichomeris sp. XXXX068;MICR103
Ohu1;Dichomeris sp. XXXX068;MICR103
Ohu1;Dichomeris sp. XXXX068;MICR103
Ohu2;Dichomeris sp. XXXX068;MICR103
Ohu1;Dichomeris sp. XXXX068;MICR103
Ohu1;Dichomeris sp. XXXX068;MICR103
Morox;Unadophanes trissomita;MICR103
Utai;Tamba kebea;MICR169
Utai;Tamba kebea;MICR169
Utai;Tamba kebea;MICR169
Utai;Tamba kebea;MICR169
Utai;Tamba kebea;MICR169
Utai;Tamba kebea;MICR169
Utai;Tamba kebea;MICR169
Utai;Tamba kebea;MICR169
Utai;Tamba kebea;MICR169
Utai;Tamba kebea;MICR169
Utai;Tamba kebea;MICR169
Utai;Tamba kebea;MICR169
Utai;Tamba kebea;MICR169
Utai;Tamba kebea;MICR169
Utai;Tamba kebea;MICR169
Utai;Tamba kebea;MICR169
Utai;Tamba kebea;MICR169
Utai;Tamba kebea;MICR169
Utai;Tamba kebea;MICR169
Utai;Tamba kebea;MICR169
Utai;Tamba kebea;MICR169
Utai;Tamba kebea;MICR169
Utai;Tamba kebea;MICR169
Utai;Tamba kebea;MICR169
Utai;Tamba kebea;MICR169
Utai;Tamba kebea;MICR169
Yapsiei;Dichomeris n. sp. nr. ochreoviridella;MICR170
Yapsiei;Dichomeris n. sp. nr. ochreoviridella;MICR170
Yapsiei;Dichomeris n. sp. nr. ochreoviridella;MICR170
Yapsiei;Dichomeris ochreoviridella;MICR170
Yapsiei;Dichomeris ochreoviridella;MICR170
Yapsiei;Dichomeris n. sp. nr. ochreoviridella;MICR170
Yapsiei;Mellea ramifera;MICR170
Yapsiei;Dichomeris ochreoviridella;MICR170
Yapsiei;Dichomeris ochreoviridella;MICR170
Yapsiei;Dichomeris n. sp. nr. ochreoviridella;MICR170
Yapsiei;Dichomeris n. sp. nr. ochreoviridella;MICR170
Yapsiei;Dichomeris ochreoviridella;MICR170
Yapsiei;Dichomeris n. sp. nr. ochreoviridella;MICR170
Yapsiei;Dichomeris ochreoviridella;MICR170
Yapsiei;Dichomeris ochreoviridella;MICR170
Yapsiei;Dichomeris ochreoviridella;MICR170
Yapsiei;Dichomeris n. sp. nr. ochreoviridella;MICR170
Yapsiei;Dichomeris n. sp. nr. ochreoviridella;MICR170
Yapsiei;Dichomeris n. sp. nr. ochreoviridella;MICR170
Yapsiei;Dichomeris n. sp. nr. ochreoviridella;MICR170
Yapsiei;Dichomeris ochreoviridella;MICR170
Yapsiei;Mellea ramifera;MICR170
Yapsiei;Dichomeris n. sp. nr. ochreoviridella;MICR170
Utai;Dichomeris ochreoviridella;MICR170
Utai;Dichomeris n. sp. nr. ochreoviridella;MICR170
Utai;Dichomeris n. sp. nr. ochreoviridella;MICR170
