locality;caterpillar;parasitoid
Ohu1;Dichomeris sp. XXXX068;APAN010
Ohu1;Choreutis cf. anthorma;APAN010
Ohu1;Brenthia JR37;APAN010
Morox;Mellea ramifera;APAN010
Morox;Mellea ramifera;APAN010
Morox;Brenthia JR37;APAN010
Niksek;Choreutis basalis;APAN010
Niksek;Choreutis cf. anthorma;APAN010
Niksek;Choreutis cf. anthorma;APAN010
Niksek;Choreutis cf. anthorma;APAN010
Yapsiei;Choreutis basalis;APAN010
Ohu1;Brenthia sp. AAI3835;APAN010
Morox;Arctornis nr. intacta 1 SEM-2008;APAN010
Morox;Brenthia JR37;APAN010
Morox;Brenthia JR37;APAN010
Ohu1;Brenthia JR54;APAN013
Ohu1;Brenthia JR54;APAN013
Elem;Brenthia JR54;APAN013
Ohu2;Brenthia JR22;APAN013
Niksek;Choreutis lutescens;APAN017
Ohu2;Choreutis cf. anthorma;APAN017
Morox;Choreutis lutescens;APAN017
Morox;Choreutis lutescens;APAN017
Niksek;Choreutis lutescens;APAN017
Ohu1;Brenthia sp. AAF6821;APAN113
Ohu2;Brenthia sp. AAL5584;APAN113
Elem;Brenthia JR34;APAN113
Ohu1;Brenthia sp. AAF6821;APAN113
Niksek;Addaea pusilla;APAN124
Morox;Arctornis nr. intacta 1 SEM-2008;APAN124
Morox;Addaea nr. probolopsis;APAN124
Niksek;Addaea pusilla;APAN124
Yapsiei;Addaea pusilla;APAN124
Morox;Addaea nr. probolopsis;APAN124
Morox;Addaea nr. probolopsis;APAN124
Ohu1;Dichomeris n. sp. nr. ochreoviridella;APAN127
Morox;Philiris helena;APAN127
Yapsiei;Dichomeris n. sp. nr. ochreoviridella;APAN127
Utai;Dichomeris sp. XXXX068;APAN132
Ohu1;Dichomeris sp. XXXX068;APAN132
Wanang;Mellea ordinaria complex;APAN132
Ohu1;Dichomeris sp. XXXX068;APAN132
Ohu1;Dichomeris sp. XXXX068;APAN132
Niksek;Choreutis JR2;APAN132
Niksek;Choreutis basalis;BETH001
Niksek;Choreutis JR5;BETH001
Utai;Choreutis cf. anthorma;BETH001
Utai;Choreutis cf. anthorma;BETH001
Ohu2;Choreutis cf. anthorma;BETH001
Ohu1;Choreutis cf. anthorma;BETH001
Ohu1;Choreutis cf. anthorma;BETH001
Niksek;Choreutis basalis;BETH001
Utai;Choreutis cf. anthorma;BETH001
Utai;Glyphodes margaritaria;BETH001
Utai;Tamba kebea;BETH001
Morox;Choreutis lutescens;BETH001
Wanang;Choreutis cf. anthorma;BETH001
Niksek;Choreutis cf. anthorma;BETH001
Utai;Choreutis cf. anthorma;BETH001
Utai;Choreutis cf. anthorma;BETH001
Ohu2;Choreutis cf. anthorma;BETH001
Ohu2;Choreutis JR5;BETH001
Ohu1;Choreutis JR5;BETH001
Morox;Coelorhyncidia nitidalis;BETH001
Morox;Choreutis lutescens;BETH001
Morox;Choreutis lutescens;BETH001
Wanang;Choreutis cf. anthorma;BETH001
Wanang;Mellea sp. 1 nr. ordinaria;BETH002
Niksek;Mellea ordinaria complex;BETH002
Niksek;Addaea nr. probolopsis;BETH002
Niksek;Mellea nitida;BETH002
Niksek;Mellea sp.near rectiviata;BETH002
Yapsiei;Mellea ramifera;BETH002
Utai;Mellea sp. AAI1456;BETH002
Utai;Mellea ordinaria complex;BETH002
Utai;Dichomeris n. sp. nr. ochreoviridella;BETH002
Utai;Mellea ordinaria complex;BETH002
Utai;Mellea ordinaria complex;BETH002
Yapsiei;Mellea ramifera;BETH002
Wamangu;Limacodidae sp.LIMA007;BETH002
Morox;Brenthia JR54;BETH002
Morox;Mellea hieroglyphica;BETH002
Morox;Talanga excelsalis;BETH002
Morox;Agrotera genuflexa;BETH002
Wamangu;Mellea rectiviata;BETH002
Wamangu;Addaea pusilla;BETH002
Morox;Pharambara splendida;BETH002
Morox;Arctornis nr. intacta 3 SEM-2008;BETH002
Morox;Dichomeris sp. XXXX068;BETH002
Morox;Addaea nr. probolopsis;BETH002
Morox;Mellea hieroglyphica;BETH002
Morox;Rhodoneura aurata;BETH002
Morox;Mellea ramifera;BETH002
Morox;Mellea ramifera;BETH002
Morox;Mellea hieroglyphica;BETH002
Morox;Mellea sp. THYR012;BETH002
Morox;Dichomeris sp. XXXX068;BETH002
Morox;Rhodoneura aurata;BETH002
Morox;Pharambara splendida;BETH002
Morox;Pharambara splendida;BETH002
Morox;Mellea nitida;BETH002
Morox;Mellea hieroglyphica;BETH002
Niksek;Mellea ramifera;BETH002
Niksek;Mellea ramifera;BETH002
Niksek;Mellea sp.near rectiviata;BETH002
Niksek;Mellea ordinaria complex;BETH002
Yapsiei;Mellea ordinaria complex;BETH002
Utai;Mellea ordinaria complex;BETH002
Wamangu;Mellea nitida;BETH002
Wamangu;Mellea ramifera;BETH002
Morox;Mellea ramifera;BETH002
Morox;Mellea ramifera;BETH002
Morox;Mellea nitida;BETH002
Morox;Dichomeris sp. XXXX068;BETH002
Elem;Mellea nitida;BETH002
Elem;Mellea nitida;BETH002
Niksek;Mellea ordinaria complex;BETH002
Utai;Pharambara splendida;BETH002
Utai;Mellea nitida;BETH002
Ohu1;Mellea ordinaria complex;BETH002
Ohu1;Mellea ramifera;BETH002
Morox;Pharambara splendida;BETH002
Morox;Mellea hieroglyphica;BETH002
Morox;Mellea ordinaria complex;BETH002
Morox;Rhodoneura aurata;BETH002
Elem;Mellea sp.near rectiviata;BETH004
Morox;Dichomeris sp. XXXX068;BETH004
Morox;Coelorhyncidia nitidalis;BETH005
Morox;Meekiaria sp. BOLD:AAA3374;BETH005
Morox;Meekiaria sp. BOLD:AAA3374;BETH005
Morox;Coelorhyncidia nitidalis;BETH005
Utai;Coelorhyncidia nitidalis;BETH005
Morox;Meekiaria purpurea;BETH005
Yapsiei;Meekiaria purpurea;CARD001
Yapsiei;Meekiaria sp. AAA3378;CARD001
Ohu1;Meekiaria sp. BOLD:AAA3374;CARD001
Ohu2;Meekiaria sp. BOLD:AAA3374;CARD001
Ohu2;Meekiaria sp. BOLD:AAA3374;CARD001
Ohu2;Meekiaria sp. BOLD:AAA3374;CARD001
Ohu2;Meekiaria sp. BOLD:AAA3374;CARD001
Ohu2;Meekiaria sp. BOLD:AAA3374;CARD001
Ohu1;Meekiaria sp. BOLD:AAA3374;CARD001
Ohu1;Meekiaria sp. BOLD:AAA3374;CARD001
Ohu2;Meekiaria purpurea;CARD001
Ohu1;Coelorhyncidia nitidalis;CARD001
Ohu2;Meekiaria sp. BOLD:AAA3374;CARD001
Elem;Meekiaria purpurea;CARD001
Wanang;Meekiaria sp. BOLD:AAA3374;CARD001
Yapsiei;Choreutis lutescens;CARD001
Utai;Meekiaria sp. AAA3379;CARD001
Wamangu;Coelorhyncidia nitidalis;CARD001
Morox;Meekiaria sp. BOLD:AAA3374;CARD001
Morox;Meekiaria sp. BOLD:AAA3374;CARD001
Morox;Meekiaria sp. BOLD:AAA3374;CARD001
Wanang;Meekiaria purpurea;CARD001
Wanang;Meekiaria sp. BOLD:AAA3374;CARD001
Yapsiei;Coelorhyncidia nitidalis;CARD001
Ohu1;Meekiaria sp. BOLD:AAA3374;CARD001
Wamangu;Meekiaria sp. BOLD:AAA3374;CARD001
Wamangu;Meekiaria purpurea;CARD001
Morox;Coelorhyncidia nitidalis;CARD001
Yapsiei;Coelorhyncidia nitidalis;CARD006
Yapsiei;Meekiaria sp. BOLD:AAA3374;CARD006
Yapsiei;Meekiaria sp. AAA3378;CARD006
Yapsiei;Choreutis lutescens;CARD006
Yapsiei;Meekiaria purpurea;CARD006
Yapsiei;Meekiaria purpurea;CARD006
Yapsiei;Meekiaria purpurea;CARD006
Yapsiei;Meekiaria purpurea;CARD006
Yapsiei;Meekiaria sp. BOLD:AAA3374;CARD006
Yapsiei;Meekiaria sp. BOLD:AAA3374;CARD006
Morox;Coelorhyncidia nitidalis;CARD006
Morox;Meekiaria sp. BOLD:AAA3374;CARD006
Morox;Coelorhyncidia nitidalis;CARD006
Morox;Meekiaria sp. BOLD:AAA3374;CARD006
Morox;Meekiaria sp. BOLD:AAA3374;CARD006
Morox;Meekiaria sp. BOLD:AAA3374;CARD006
Morox;Meekiaria sp. BOLD:AAA3374;CARD006
Morox;Meekiaria sp. BOLD:AAA3374;CARD006
Morox;Coelorhyncidia nitidalis;CARD006
Morox;Meekiaria sp. BOLD:AAA3374;CARD006
Morox;Coelorhyncidia nitidalis;CARD006
Elem;Meekiaria purpurea;CARD006
Elem;Meekiaria sp. BOLD:AAA3374;CARD006
Elem;Meekiaria sp. BOLD:AAA3374;CARD006
Niksek;Meekiaria purpurea;CENT023
Niksek;Meekiaria purpurea;CENT023
Niksek;Meekiaria purpurea;CENT023
Niksek;Meekiaria purpurea;CENT023
Niksek;Meekiaria purpurea;CENT023
Niksek;Meekiaria purpurea;CENT023
Niksek;Mellea sp. AAI1456;CENT023
Niksek;Meekiaria purpurea;CENT023
Niksek;Meekiaria purpurea;CENT023
Niksek;Meekiaria purpurea;CENT023
Niksek;Meekiaria purpurea;CENT023
Niksek;Meekiaria purpurea;CENT023
Niksek;Meekiaria purpurea;CENT023
Niksek;Meekiaria purpurea;CENT023
Niksek;Meekiaria purpurea;CENT023
Niksek;Mellea sp. AAI1456;CENT023
Niksek;Meekiaria purpurea;CENT023
Niksek;Meekiaria purpurea;CENT023
Niksek;Meekiaria purpurea;CENT023
Niksek;Meekiaria purpurea;CENT023
Niksek;Mellea sp. AAI1456;CENT023
Niksek;Meekiaria purpurea;CENT023
Niksek;Meekiaria purpurea;CENT023
Niksek;Meekiaria purpurea;CENT023
Niksek;Meekiaria purpurea;CENT023
Niksek;Meekiaria purpurea;CENT023
Niksek;Meekiaria purpurea;CENT023
Niksek;Meekiaria purpurea;CENT023
Niksek;Meekiaria purpurea;CENT023
Niksek;Meekiaria purpurea;CENT023
