Species;num_localities;num_loc_no_para;mean_num_localities;mean_num_no_para_loc;group
Talanga deliciosa;7,0;7,0;2,0;2,0;NOPARA
Talanga excelsalis;9,0;9,0;0,0;0,0;NOPARA
Talanga polyzonalis;7,0;6,6;2,0;2,4;NOPARA
Talanga sexpunctalis complex;9,0;9,0;0,0;0,0;NOPARA
Tamba;1,0;1,0;8,0;8,0;NOPARA
Tamba kebea;5,0;4,9;4,0;4,1;NOPARA
Tamba magniplaga;1,0;1,0;8,0;8,0;NOPARA
Tamba plumipes;1,0;1,0;8,0;8,0;NOPARA
Targalla palliatrix;5,0;4,4;4,0;4,6;NOPARA
Targalla subocellata;1,0;1,0;8,0;8,0;NOPARA
Targalla suffundens;2,0;1,4;7,0;7,6;NOPARA
Teia sp. AAB5680;1,0;1,0;8,0;8,0;NOPARA
Teia sp. AAE9809;1,0;1,0;8,0;8,0;NOPARA
Teia sp. AAI3599;1,0;1,0;8,0;8,0;NOPARA
Teia sp. ABX5688;1,0;1,0;8,0;8,0;NOPARA
Teldenia;1,0;1,0;8,0;8,0;NOPARA
Thosea monoloncha?;3,0;1,9;6,0;7,1;NOPARA
Thyrididae;2,0;1,5;7,0;7,5;NOPARA
Tipasa sp. AAI0376;1,0;1,0;8,0;8,0;NOPARA
Tipasa sp. AAI0377;1,0;1,0;8,0;8,0;NOPARA
Tipasa sp. GEOM158;2,0;1,6;7,0;7,4;NOPARA
Tortricidae sp.TORT100;1,0;1,0;8,0;8,0;NOPARA
Tortricidae sp.TORT174;1,0;1,0;8,0;8,0;NOPARA
Tortricidae sp.TORT175;1,0;1,0;8,0;8,0;NOPARA
Tortricidae sp.TORT185;1,0;1,0;8,0;8,0;NOPARA
Tortricidae sp.TORT186;1,0;1,0;8,0;8,0;NOPARA
Tortricidae sp.TORT205;1,0;1,0;8,0;8,0;NOPARA
Tortricidae sp.TORT207;1,0;1,0;8,0;8,0;NOPARA
Tortricidae sp.TORT209;1,0;1,0;8,0;8,0;NOPARA
Tortricidae sp.XXXX123;1,0;1,0;8,0;8,0;NOPARA
Trichalis nr. aereoplagiata;1,0;1,0;8,0;8,0;NOPARA
Trischalis iridescens;1,0;1,0;8,0;8,0;NOPARA
Unadophanes trissomita;9,0;8,9;0,0;0,1;NOPARA
Uraniidae sp.URAN012;2,0;1,4;7,0;7,6;NOPARA
Uraniidae sp.URAN013;1,0;1,0;8,0;8,0;NOPARA
Uraniidae sp.URAN014;1,0;1,0;8,0;8,0;NOPARA
Xenothictis gnetivora;8,0;6,4;1,0;2,6;NOPARA
Xylinophylla maculata;2,0;1,6;7,0;7,4;NOPARA
Xyloryctinae;1,0;1,0;8,0;8,0;NOPARA
Zaratha sp.1;1,0;1,0;8,0;8,0;NOPARA
Zygaenosia sp. USNM1;3,0;1,9;6,0;7,1;NOPARA
