locality;caterpillar;plant
Yapsiei;Cangetta cf. rectilinea;Psychotria aff. ectasiphylla
Utai;Glyphodes margaritaria;Ficus conocephalifolia
Utai;Choreutis cf. anthorma;Ficus dammaropsis
Utai;Glyphodes margaritaria;Ficus dammaropsis
Wamangu;Glyphodes margaritaria;Ficus hahliana
Niksek;Talanga deliciosa;Ficus hahliana
Utai;Glyphodes margaritaria;Ficus dammaropsis
Utai;Glyphodes margaritaria;Ficus dammaropsis
Utai;Glyphodes margaritaria;Ficus dammaropsis
Utai;Glyphodes margaritaria;Ficus conocephalifolia
Utai;Choreutis cf. anthorma;Ficus dammaropsis
Utai;Glyphodes margaritaria;Ficus dammaropsis
Utai;Choreutis cf. anthorma;Ficus dammaropsis
Wamangu;Choreutis cf. anthorma;Ficus conocephalifolia
Wamangu;Glyphodes margaritaria;Ficus conocephalifolia
Wamangu;Glyphodes margaritaria;Ficus conocephalifolia
Wamangu;Talanga deliciosa;Ficus conocephalifolia
Elem;Talanga deliciosa;Ficus pungens
Utai;Glyphodes margaritaria;Ficus dammaropsis
Utai;Glyphodes margaritaria;Ficus dammaropsis
Utai;Talanga deliciosa;Ficus conocephalifolia
Utai;Glyphodes margaritaria;Ficus conocephalifolia
Utai;Glyphodes margaritaria;Ficus dammaropsis
Ohu1;Talanga polyzonalis;Ficus copiosa
Wamangu;Glyphodes margaritaria;Ficus hahliana
Ohu1;Choreutis JR09;Ficus pachyrrhachis
Ohu1;Choreutis JR09;Ficus pachyrrhachis
Ohu1;Ophiorrhabda deceptor;Syzygium longipes
Ohu2;Agrotera nr. effertalis;"Syzygium cf. ""stipulare"""
Ohu1;Choreutis cf. anthorma;Ficus phaeosyce
Ohu1;Choreutis cf. anthorma;Ficus phaeosyce
Ohu1;Chamaita pr. metamelaena;Ficus phaeosyce
Ohu2;Choreutis JR09;Ficus hispidioides
Ohu1;Choreutis cf. anthorma;Ficus phaeosyce
Niksek;Brenthia JR54;Ficus hahliana
Niksek;Brenthia JR32;Ficus hahliana
Niksek;Choreutis basalis;Ficus hahliana
Niksek;Choreutis cf. anthorma;Ficus hahliana
Yapsiei;Choreutis basalis;Ficus pachyrrhachis
Yapsiei;Mellea ramifera;Macaranga novoguineensis
Ohu1;Brenthia JR34;Ficus dammaropsis
Ohu1;Dichomeris sp. XXXX068;Macaranga cf. brachytricha
Ohu1;Choreutis cf. anthorma;Ficus conocephalifolia
Ohu1;Brenthia JR37;Ficus dammaropsis
Morox;Mellea ramifera;Macaranga novoguineensis
Morox;Mellea ramifera;Macaranga novoguineensis
Morox;Brenthia JR37;Ficus dammaropsis
Niksek;Choreutis basalis;Ficus hahliana
Niksek;Choreutis cf. anthorma;Ficus hahliana
Niksek;Choreutis cf. anthorma;Ficus hahliana
Niksek;Choreutis cf. anthorma;Ficus hahliana
Yapsiei;Choreutis basalis;Ficus pachyrrhachis
Ohu1;Brenthia sp. AAI3835;Ficus dammaropsis
Morox;Arctornis nr. intacta 1 SEM-2008;Macaranga novoguineensis
Morox;Brenthia JR37;Ficus dammaropsis
Morox;Brenthia JR37;Ficus dammaropsis
Ohu1;Dichomeris sp. XXXX068;Macaranga clavata
Ohu1;Brenthia JR54;Ficus pachyrrhachis
Ohu1;Brenthia JR54;Ficus pachyrrhachis
Elem;Brenthia JR54;Ficus pachyrrhachis
Ohu2;Brenthia JR22;Macaranga novoguineensis
Ohu1;Brenthia JR34;Ficus dammaropsis
Niksek;Choreutis lutescens;Ficus copiosa
Ohu2;Choreutis cf. anthorma;Ficus conocephalifolia
Morox;Choreutis lutescens;Ficus copiosa
Morox;Choreutis lutescens;Ficus copiosa
Niksek;Choreutis lutescens;Ficus copiosa
Utai;Meekiaria sp. AAA3375;Psychotria micrococca
Utai;Meekiaria purpurea;Psychotria micrococca
Utai;Coelorhyncidia nitidalis;Psychotria micrococca
Ohu1;Brenthia sp. AAF6821;Macaranga fallacina
Ohu2;Brenthia sp. AAL5584;Macaranga fallacina
