Species	value	skupina	type	
Mellea sp. AAI1460	1	PAR	mean_num_localities	
Mellea sp. AAI1461	1	PAR	mean_num_localities	
Mellea sp.near rectiviata	1	PAR	mean_num_localities	
Moca congrualis	1	PAR	mean_num_localities	
Noctuidae sp.NOCT061	1	PAR	mean_num_localities	
NolidaeGEN sp. AAH3367	1	PAR	mean_num_localities	
Nothomastix klossi	1	PAR	mean_num_localities	
Nycteola n. sp. AAB7439	1	PAR	mean_num_localities	
Nycteola nr. pseudoindica	1	PAR	mean_num_localities	
OecophoridaeGEN sp. AAH7348	1	PAR	mean_num_localities	
Orvasca sp. AAD8421	1	PAR	mean_num_localities	
Philiris sp. AAF6866	1	PAR	mean_num_localities	
Piletocera sp. CRAM094	1	PAR	mean_num_localities	
Pleuroptya nr. sabinusalis	1	PAR	mean_num_localities	
Pseudocera sp. AAB1481	1	PAR	mean_num_localities	
Pyrophractis isotherma	1	PAR	mean_num_localities	
Statherotis discana	1	PAR	mean_num_localities	
Talanga polyzonalis	1	PAR	mean_num_localities	
Targalla palliatrix	1	PAR	mean_num_localities	
Tipasa sp. AAI0377	1	PAR	mean_num_localities	
Tipasa sp. GEOM158	1	PAR	mean_num_localities	
Addaea sp. AAL8409	1	NOPARA	num_localities	
Adoxophyes sp.9, perstricta complex	1	NOPARA	num_localities	
Aetholix flavibasalis	1	NOPARA	num_localities	
Agrotera sp.2 nr basinotata	1	NOPARA	num_localities	
Anomis flava	1	NOPARA	num_localities	
Anthela nr. ekeikei	1	NOPARA	num_localities	
Ardozyga cf. amphiplaca	1	NOPARA	num_localities	
Ardozyga nr. amphiplaca	1	NOPARA	num_localities	
Arhopala AAC8740	1	NOPARA	num_localities	
Arhopala sp. AAC8743	1	NOPARA	num_localities	
Arhopala thamyras	1	NOPARA	num_localities	
Archigraptis chrysodema	1	NOPARA	num_localities	
Arna sp. nr. galactopis	1	NOPARA	num_localities	
Artaxa sp. AAD5374	1	NOPARA	num_localities	
Asota heliconia	1	NOPARA	num_localities	
Barasa cymatistis	1	NOPARA	num_localities	
Berta albiplaga	1	NOPARA	num_localities	
Berta sp. AAD4670	1	NOPARA	num_localities	
Brenthia sp. AAI3836	1	NOPARA	num_localities	
Caeneressa bernhardi	1	NOPARA	num_localities	
Cathyalia sp. AAG0397	1	NOPARA	num_localities	
Cirrhochrista cf. brizoalis	1	NOPARA	num_localities	
CopromorphidaeGEN sp. AAG0483	1	NOPARA	num_localities	
CopromorphidaeGEN sp. AAH4359	1	NOPARA	num_localities	
Crambidae sp.CRAM082	1	NOPARA	num_localities	
Crambidae sp.CRAM097	1	NOPARA	num_localities	
Crambidae sp.CRAM132	1	NOPARA	num_localities	
Crambidae sp.PYRA038	1	NOPARA	num_localities	
Cyclophora sp. AAF7883	1	NOPARA	num_localities	
Delonoma pyrrhoplecta	1	NOPARA	num_localities	
Derambila strigicosta	1	NOPARA	num_localities	
Dilophothripa sp. AAL1093	1	NOPARA	num_localities	
Drepanidae	1	NOPARA	num_localities	
Dysaethria	1	NOPARA	num_localities	
Dysrhombia nr. alabastraria	1	NOPARA	num_localities	
Eboda smaragdina	1	NOPARA	num_localities	
Ectropis bhurmitra	1	NOPARA	num_localities	
Eilema plana	1	NOPARA	num_localities	
Elachyophtalma cf. kebeae	1	NOPARA	num_localities	
Eucyclodes absona	1	NOPARA	num_localities	
Eucyclodes albilauta	1	NOPARA	num_localities	
Eugoa nr. perfasciata	1	NOPARA	num_localities	
Focillodes	1	NOPARA	num_localities	
Gabala australiata	1	NOPARA	num_localities	
Garudinodes nr. trizona	1	NOPARA	num_localities	
Gauna sp. AAF4890	1	NOPARA	num_localities	
Gelechiidae sp.TORT188	1	NOPARA	num_localities	
Gelechiidae sp.XXXX148	1	NOPARA	num_localities	
GelechiidaeGEN sp. AAN5589	1	NOPARA	num_localities	
Gelechioidea sp.TORT193	1	NOPARA	num_localities	
Gelechioidea sp.XXXX121	1	NOPARA	num_localities	
Gelechioidea sp.XXXX126	1	NOPARA	num_localities	
Geometridae sp.GEOM109	1	NOPARA	num_localities	
Geometridae sp.GEOM138	1	NOPARA	num_localities	
Geometridae sp.GEOM143	1	NOPARA	num_localities	
Geometridae sp.GEOM147	1	NOPARA	num_localities	
Geometridae sp.GEOM148	1	NOPARA	num_localities	
Geometridae sp.GEOM160	1	NOPARA	num_localities	
Geometridae sp.GEOM163	1	NOPARA	num_localities	
Geometrinae	1	NOPARA	num_localities	
Glyphodes caesalis	1	NOPARA	num_localities	
Glyphodes canthusalis	1	NOPARA	num_localities	
Glyphodes pseudocaesalis	1	NOPARA	num_localities	
Gonitis involuta	1	NOPARA	num_localities	
Haritalodes sp. AAB8316	1	NOPARA	num_localities	
Heterocnephes scapulalis	1	NOPARA	num_localities	
Hydroclada antigona	1	NOPARA	num_localities	
Hypolycaena phorbas	1	NOPARA	num_localities	
Hypsopygia nigrivitta	1	NOPARA	num_localities	
Chaetocneme lunula	1	NOPARA	num_localities	
Chaetocneme sp. AAF8537	1	NOPARA	num_localities	
Chora ekeikei	1	NOPARA	num_localities	
Choreutidae	1	NOPARA	num_localities	
Choreutis chi	1	NOPARA	num_localities	
Choreutis JR07	1	NOPARA	num_localities	
Choreutis JR08	1	NOPARA	num_localities	
Chrysocraspeda sp. AAC8547	1	NOPARA	num_localities	
Chrysoscota sp, near flavostrigata B-B and vagivitta	1	NOPARA	num_localities	
Imma	1	NOPARA	num_localities	
Imma sp. AAD4329	1	NOPARA	num_localities	
Imma sp. AAF9965	1	NOPARA	num_localities	
Imma sp. AAI2315	1	NOPARA	num_localities	
Immidae	1	NOPARA	num_localities	
Labdia sp. AAH4360	1	NOPARA	num_localities	
Lambula sp. ACE6062	1	NOPARA	num_localities	
Lambula sp. USNM1	1	NOPARA	num_localities	
Lecithocera sp. AAI1270	1	NOPARA	num_localities	
Lecithocera sp. AAI1271	1	NOPARA	num_localities	
Lecithocera sp. AAI1272	1	NOPARA	num_localities	
Lepidoptera sp.XXXX113	1	NOPARA	num_localities	
Lepidoptera sp.XXXX128	1	NOPARA	num_localities	
Lepidoptera sp.XXXX137	1	NOPARA	num_localities	
Lepidoptera sp.XXXX138	1	NOPARA	num_localities	
Lepidoptera sp.XXXX140	1	NOPARA	num_localities	
Lepidoptera sp.XXXX141	1	NOPARA	num_localities	
Lepidoptera sp.XXXX145	1	NOPARA	num_localities	
Lepidoptera sp.XXXX146	1	NOPARA	num_localities	
Lepidoptera sp.XXXX150	1	NOPARA	num_localities	
LepidopteraGEN sp. AAH4358	1	NOPARA	num_localities	
LepidopteraGEN sp. AAH4361	1	NOPARA	num_localities	
Leucoma sp. ABU6384	1	NOPARA	num_localities	
Limacodidae sp.LIMA027	1	NOPARA	num_localities	
Lista carniola	1	NOPARA	num_localities	
Lithosiinae sp.PYRA039	1	NOPARA	num_localities	
Lithosiinae sp.TORT189	1	NOPARA	num_localities	
Lithosiinae sp.XXXX149	1	NOPARA	num_localities	
Luxiaria sp. AAF9578	1	NOPARA	num_localities	
Lymantria	1	NOPARA	num_localities	
Lymantriidae sp.LYMA067	1	NOPARA	num_localities	
Lymantriidae sp.LYMA072	1	NOPARA	num_localities	
Lymantriidae sp.LYMA077	1	NOPARA	num_localities	
LymantriinaeGEN sp. AAG9399	1	NOPARA	num_localities	
Mambara sp. AAL3983	1	NOPARA	num_localities	
Marapana pulverata	1	NOPARA	num_localities	
Meekiaria nr. lignea	1	NOPARA	num_localities	
Mellea	1	NOPARA	num_localities	
Mellea sp. AAI1460	1	NOPARA	num_localities	
Metaphoenia sp. AAI1563	1	NOPARA	num_localities	
Moca ancistrota	1	NOPARA	num_localities	
Nacaduba berenice	1	NOPARA	num_localities	
