Species	value	skupina	type	
Polypogon sp. AAI2776	1	NOPARA	num_loc_no_para	
Pterophoridae	1	NOPARA	num_loc_no_para	
Pycnozancla sp. AAE8365	1	NOPARA	num_loc_no_para	
Pyralidae sp.PYRA032	1	NOPARA	num_loc_no_para	
Pyralidae sp.PYRA035	1	NOPARA	num_loc_no_para	
Rehimena cissophora	1	NOPARA	num_loc_no_para	
Saptha cf. exanthista	1	NOPARA	num_loc_no_para	
Scopula amala	1	NOPARA	num_loc_no_para	
Scopula sp. AAG9552	1	NOPARA	num_loc_no_para	
Scythropiodes n sp near perissa	1	NOPARA	num_loc_no_para	
Simplicia	1	NOPARA	num_loc_no_para	
Simplicia cornicalis	1	NOPARA	num_loc_no_para	
Simplicia erebina	1	NOPARA	num_loc_no_para	
Somena	1	NOPARA	num_loc_no_para	
Sphenarches anisodactylus	1	NOPARA	num_loc_no_para	
Spilosoma niceta	1	NOPARA	num_loc_no_para	
Sporostigena n. sp. AAJ3512	1	NOPARA	num_loc_no_para	
Statherotis discana	1	NOPARA	num_loc_no_para	
Stictoptera	1	NOPARA	num_loc_no_para	
Striglina asinina	1	NOPARA	num_loc_no_para	
Striglina cinnamomea	1	NOPARA	num_loc_no_para	
Syllepte nr. iopasalis	1	NOPARA	num_loc_no_para	
Syllepte solilucis	1	NOPARA	num_loc_no_para	
Syntomaula n sp	1	NOPARA	num_loc_no_para	
Tamba	1	NOPARA	num_loc_no_para	
Tamba magniplaga	1	NOPARA	num_loc_no_para	
Tamba plumipes	1	NOPARA	num_loc_no_para	
Targalla subocellata	1	NOPARA	num_loc_no_para	
Teia sp. AAB5680	1	NOPARA	num_loc_no_para	
Teia sp. AAE9809	1	NOPARA	num_loc_no_para	
Teia sp. AAI3599	1	NOPARA	num_loc_no_para	
Teia sp. ABX5688	1	NOPARA	num_loc_no_para	
Teldenia	1	NOPARA	num_loc_no_para	
Tipasa sp. AAI0376	1	NOPARA	num_loc_no_para	
Tipasa sp. AAI0377	1	NOPARA	num_loc_no_para	
Tortricidae sp.TORT100	1	NOPARA	num_loc_no_para	
Tortricidae sp.TORT174	1	NOPARA	num_loc_no_para	
Tortricidae sp.TORT175	1	NOPARA	num_loc_no_para	
Tortricidae sp.TORT185	1	NOPARA	num_loc_no_para	
Tortricidae sp.TORT186	1	NOPARA	num_loc_no_para	
Tortricidae sp.TORT205	1	NOPARA	num_loc_no_para	
Tortricidae sp.TORT207	1	NOPARA	num_loc_no_para	
Tortricidae sp.TORT209	1	NOPARA	num_loc_no_para	
Tortricidae sp.XXXX123	1	NOPARA	num_loc_no_para	
Trichalis nr. aereoplagiata	1	NOPARA	num_loc_no_para	
Trischalis iridescens	1	NOPARA	num_loc_no_para	
Uraniidae sp.URAN013	1	NOPARA	num_loc_no_para	
Uraniidae sp.URAN014	1	NOPARA	num_loc_no_para	
Xyloryctinae	1	NOPARA	num_loc_no_para	
Zaratha sp.1	1	NOPARA	num_loc_no_para	
Agrotera nr. effertalis	1.1	PAR	mean_num_localities	
Arctornis nr. intacta 1 SEM-2008	1.1	PAR	mean_num_localities	
Brenthia JR22	1.1	PAR	mean_num_localities	
Brenthia JR34	1.1	PAR	mean_num_localities	
Dichomeris sp. XXXX120	1.1	PAR	mean_num_localities	
Choreutis JR09	1.1	PAR	mean_num_localities	
Meekiaria sp. AAA3379	1.1	PAR	mean_num_localities	
Mellea sp. AAI1456	1.1	PAR	mean_num_localities	
Orthaga nr. percnodes	1.1	PAR	mean_num_localities	
Talanga sexpunctalis complex	1.1	PAR	mean_num_localities	
Addaea nr. probolopsis	1.2	PAR	mean_num_localities	
Asota eusemioides	1.2	PAR	mean_num_localities	
Brenthia JR39	1.2	PAR	mean_num_localities	
Brenthia JR54	1.2	PAR	mean_num_localities	
Brenthia sp. AAF6821	1.2	PAR	mean_num_localities	
Choreutis JR5	1.2	PAR	mean_num_localities	
Mellea sp. 1 nr. ordinaria	1.2	PAR	mean_num_localities	
Mellea sp. THYR012	1.2	PAR	mean_num_localities	
Ophiorrhabda deceptor	1.2	PAR	mean_num_localities	
Rhodoneura aurata	1.2	PAR	mean_num_localities	
Tamba kebea	1.2	PAR	mean_num_localities	
Xenothictis gnetivora	1.2	PAR	mean_num_localities	
Arctornis nr. intacta 3 SEM-2008	1.3	PAR	mean_num_localities	
Asota plana	1.3	PAR	mean_num_localities	
Coelorhyncidia nitidalis	1.3	PAR	mean_num_localities	
Dichomeris ochreoviridella	1.3	PAR	mean_num_localities	
Dichomeris sp. XXXX068	1.3	PAR	mean_num_localities	
Meekiaria purpurea	1.3	PAR	mean_num_localities	
Pharambara splendida	1.3	PAR	mean_num_localities	
Talanga deliciosa	1.3	PAR	mean_num_localities	
Albinospila sp. AAB0430	1.4	PAR	mean_num_localities	
Brenthia JR62	1.4	PAR	mean_num_localities	
Glyphodes margaritaria	1.4	PAR	mean_num_localities	
Macarostola sp. AAI1170	1.4	PAR	mean_num_localities	
Mellea ordinaria complex	1.4	PAR	mean_num_localities	
Paraphomia disjuncta	1.4	PAR	mean_num_localities	
Pseudocera nr. trissosticha	1.4	PAR	mean_num_localities	
Addaea pusilla	1.5	PAR	mean_num_localities	
Asota caricae	1.5	PAR	mean_num_localities	
Brenthia JR37	1.5	PAR	mean_num_localities	
Brenthia sp. AAC1202	1.5	PAR	mean_num_localities	
Chora huntei	1.5	PAR	mean_num_localities	
Choreutis cf. anthorma	1.5	PAR	mean_num_localities	
Choreutis lutescens	1.5	PAR	mean_num_localities	
Chrysocraspeda sp. AAB1427	1.5	PAR	mean_num_localities	
Meekiaria sp. BOLD:AAA3374	1.5	PAR	mean_num_localities	
Philiris moira	1.5	PAR	mean_num_localities	
Unadophanes trissomita	1.5	PAR	mean_num_localities	
CopromorphidaeGEN sp. AAG3732	1.6	PAR	mean_num_localities	
Dichomeris n. sp. nr. ochreoviridella	1.6	PAR	mean_num_localities	
Mellea nitida	1.6	PAR	mean_num_localities	
Talanga excelsalis	1.6	PAR	mean_num_localities	
Brenthia JR32	1.7	PAR	mean_num_localities	
Choreutis basalis	1.7	PAR	mean_num_localities	
Mellea ramifera	1.7	PAR	mean_num_localities	
Ophyx crinipes	1.7	PAR	mean_num_localities	
Philiris helena	2.2	PAR	mean_num_localities	
Philiris helena	6.8	PAR	mean_num_no_para_loc	
Brenthia JR32	7.3	PAR	mean_num_no_para_loc	
Choreutis basalis	7.3	PAR	mean_num_no_para_loc	
Mellea ramifera	7.3	PAR	mean_num_no_para_loc	
Ophyx crinipes	7.3	PAR	mean_num_no_para_loc	
CopromorphidaeGEN sp. AAG3732	7.4	PAR	mean_num_no_para_loc	
Dichomeris n. sp. nr. ochreoviridella	7.4	PAR	mean_num_no_para_loc	
Mellea nitida	7.4	PAR	mean_num_no_para_loc	
Talanga excelsalis	7.4	PAR	mean_num_no_para_loc	
Addaea pusilla	7.5	PAR	mean_num_no_para_loc	
Asota caricae	7.5	PAR	mean_num_no_para_loc	
Brenthia JR37	7.5	PAR	mean_num_no_para_loc	
Brenthia sp. AAC1202	7.5	PAR	mean_num_no_para_loc	
Chora huntei	7.5	PAR	mean_num_no_para_loc	
Choreutis cf. anthorma	7.5	PAR	mean_num_no_para_loc	
Choreutis lutescens	7.5	PAR	mean_num_no_para_loc	
Chrysocraspeda sp. AAB1427	7.5	PAR	mean_num_no_para_loc	
Meekiaria sp. BOLD:AAA3374	7.5	PAR	mean_num_no_para_loc	
Philiris moira	7.5	PAR	mean_num_no_para_loc	
Unadophanes trissomita	7.5	PAR	mean_num_no_para_loc	
Albinospila sp. AAB0430	7.6	PAR	mean_num_no_para_loc	
Brenthia JR62	7.6	PAR	mean_num_no_para_loc	
Glyphodes margaritaria	7.6	PAR	mean_num_no_para_loc	
Adoxophyes thoracica	1	NOPARA	mean_num_localities	
Agrotera nr. effertalis	1	NOPARA	mean_num_localities	
Arctornis nr. intacta 1 SEM-2008	1	NOPARA	mean_num_localities	
Coelorhyncidia nitidalis	1	NOPARA	mean_num_localities	
Dichomeris sp. XXXX120	1	NOPARA	mean_num_localities	
Dizuga recusataria	1	NOPARA	mean_num_localities	
Idiophantis n. sp. AAB7063	1	NOPARA	mean_num_localities	
Macroglossum melas pullius	1	NOPARA	mean_num_localities	
Meekiaria sp. BOLD:AAA3374	1	NOPARA	mean_num_localities	
Mellea sp. 1 nr. ordinaria	1	NOPARA	mean_num_localities	
Mellea sp. THYR012	1	NOPARA	mean_num_localities	
Nycteola indicatana	1	NOPARA	mean_num_localities	
Philiris moira	1	NOPARA	mean_num_localities	
Rhodoneura aurata	1	NOPARA	mean_num_localities	
Xenothictis gnetivora	1	NOPARA	mean_num_localities	
Coelorhyncidia nitidalis	1	NOPARA	mean_num_no_para_loc	
Dizuga recusataria	1	NOPARA	mean_num_no_para_loc	
Meekiaria sp. BOLD:AAA3374	1	NOPARA	mean_num_no_para_loc	
Rhodoneura aurata	1	NOPARA	mean_num_no_para_loc	
Macarostola sp. AAI1170	7.6	PAR	mean_num_no_para_loc	
Mellea ordinaria complex	7.6	PAR	mean_num_no_para_loc	
Paraphomia disjuncta	7.6	PAR	mean_num_no_para_loc	
Pseudocera nr. trissosticha	7.6	PAR	mean_num_no_para_loc	
Arctornis nr. intacta 3 SEM-2008	7.7	PAR	mean_num_no_para_loc	
Asota plana	7.7	PAR	mean_num_no_para_loc	
Coelorhyncidia nitidalis	7.7	PAR	mean_num_no_para_loc	
Dichomeris sp. XXXX068	7.7	PAR	mean_num_no_para_loc	
Meekiaria purpurea	7.7	PAR	mean_num_no_para_loc	
Pharambara splendida	7.7	PAR	mean_num_no_para_loc	
Talanga deliciosa	7.7	PAR	mean_num_no_para_loc	
Addaea nr. probolopsis	7.8	PAR	mean_num_no_para_loc	
Adoxophyes sp. 3	1.1	NOPARA	mean_num_no_para_loc	
Dichomeris sp. XXXX120	1.1	NOPARA	mean_num_no_para_loc	
Asota eusemioides	7.8	PAR	mean_num_no_para_loc	
Brenthia JR39	7.8	PAR	mean_num_no_para_loc	
Brenthia JR54	7.8	PAR	mean_num_no_para_loc	
Brenthia sp. AAF6821	7.8	PAR	mean_num_no_para_loc	
Dichomeris ochreoviridella	7.8	PAR	mean_num_no_para_loc	
Choreutis JR5	7.8	PAR	mean_num_no_para_loc	
Mellea sp. 1 nr. ordinaria	7.8	PAR	mean_num_no_para_loc	
Mellea sp. THYR012	7.8	PAR	mean_num_no_para_loc	
Ophiorrhabda deceptor	7.8	PAR	mean_num_no_para_loc	
Rhodoneura aurata	7.8	PAR	mean_num_no_para_loc	
Tamba kebea	7.8	PAR	mean_num_no_para_loc	
Xenothictis gnetivora	7.8	PAR	mean_num_no_para_loc	
Agrotera nr. effertalis	7.9	PAR	mean_num_no_para_loc	
Arctornis nr. intacta 1 SEM-2008	7.9	PAR	mean_num_no_para_loc	
Brenthia JR22	7.9	PAR	mean_num_no_para_loc	
Brenthia JR34	7.9	PAR	mean_num_no_para_loc	
Moca congrualis	1.2	NOPARA	mean_num_no_para_loc	
Dichomeris sp. XXXX120	7.9	PAR	mean_num_no_para_loc	
Choreutis JR09	7.9	PAR	mean_num_no_para_loc	
Meekiaria sp. AAA3379	7.9	PAR	mean_num_no_para_loc	
Mellea sp. AAI1456	7.9	PAR	mean_num_no_para_loc	
Orthaga nr. percnodes	7.9	PAR	mean_num_no_para_loc	
Talanga sexpunctalis complex	7.9	PAR	mean_num_no_para_loc	
Adoxophyes n. sp. nr. orana	8	PAR	mean_num_no_para_loc	
Adoxophyes sp. 3	8	PAR	mean_num_no_para_loc	
Adoxophyes templana complex	8	PAR	mean_num_no_para_loc	
Adoxophyes thoracica	8	PAR	mean_num_no_para_loc	
Adoxophyes tripselia	8	PAR	mean_num_no_para_loc	
Agriophara sp. AAD4602	8	PAR	mean_num_no_para_loc	
Agrotera genuflexa	8	PAR	mean_num_no_para_loc	
Agrotera ignepictoides	8	PAR	mean_num_no_para_loc	
Arctornis nr. intacta 2 SEM-2008	8	PAR	mean_num_no_para_loc	
Artaxa sp. AAD5374	8	PAR	mean_num_no_para_loc	
Idiophantis n. sp. AAB7063	1.3	NOPARA	mean_num_no_para_loc	
Mellea sp. 1 nr. ordinaria	1.3	NOPARA	mean_num_no_para_loc	
Brenthia sp. AAC1206	8	PAR	mean_num_no_para_loc	
Brenthia sp. AAI3833	8	PAR	mean_num_no_para_loc	
Brenthia sp. AAI3835	8	PAR	mean_num_no_para_loc	
Brenthia sp. AAL5584	8	PAR	mean_num_no_para_loc	
Cangetta cf. rectilinea	8	PAR	mean_num_no_para_loc	
Cirrhochrista xanthographis	8	PAR	mean_num_no_para_loc	
Artaxa sp. AAB8719	1.4	NOPARA	num_loc_no_para	
Dichomeris sp. AAA9076	1.4	NOPARA	num_loc_no_para	
Gymnasura sp. USNM2	1.4	NOPARA	num_loc_no_para	
Noctuidae sp.NOCT097	1.4	NOPARA	num_loc_no_para	
Nolidae sp.TORT194	1.4	NOPARA	num_loc_no_para	
Nudaria sp. USNM2	1.4	NOPARA	num_loc_no_para	
Peritornenta	1.4	NOPARA	num_loc_no_para	
Sarobides inconclusa	1.4	NOPARA	num_loc_no_para	
Targalla suffundens	1.4	NOPARA	num_loc_no_para	
Uraniidae sp.URAN012	1.4	NOPARA	num_loc_no_para	
CopromorphidaeGEN sp. AAG0483	8	PAR	mean_num_no_para_loc	
Dichomeris sp. AAB2697	8	PAR	mean_num_no_para_loc	
Dizuga recusataria	8	PAR	mean_num_no_para_loc	
Dudua n. sp. nr. aprobola	8	PAR	mean_num_no_para_loc	
Euploea leucostictos	8	PAR	mean_num_no_para_loc	
Gauna phaealis	8	PAR	mean_num_no_para_loc	
Gauna sp. AAF4890	8	PAR	mean_num_no_para_loc	
Agrotera nr. effertalis	1.4	NOPARA	mean_num_no_para_loc	
Mellea sp. THYR012	1.4	NOPARA	mean_num_no_para_loc	
Geometridae sp.GEOM056	8	PAR	mean_num_no_para_loc	
Holocola n. sp. AAC7734	8	PAR	mean_num_no_para_loc	
Homona mermerodes	8	PAR	mean_num_no_para_loc	
Homona trachyptera	8	PAR	mean_num_no_para_loc	
Hyposidra incomptaria	8	PAR	mean_num_no_para_loc	
Hyposidra talaca	8	PAR	mean_num_no_para_loc	
Chamaita pr. metamelaena	8	PAR	mean_num_no_para_loc	
Choreutis chi	8	PAR	mean_num_no_para_loc	
Choreutis JR06	8	PAR	mean_num_no_para_loc	
Choreutis JR2	8	PAR	mean_num_no_para_loc	
Agrotera sp. AAJ7071	1.5	NOPARA	num_loc_no_para	
Cotana sp. AAI6038	1.5	NOPARA	num_loc_no_para	
Eucyclodes sp. ACF0440	1.5	NOPARA	num_loc_no_para	
Hyposidra	1.5	NOPARA	num_loc_no_para	
Idiophantis	1.5	NOPARA	num_loc_no_para	
Idiophantis n. sp. AAZ1655	1.5	NOPARA	num_loc_no_para	
Lambula agraphia	1.5	NOPARA	num_loc_no_para	
Loboschiza	1.5	NOPARA	num_loc_no_para	
Lophopepla sp. AAI1091	1.5	NOPARA	num_loc_no_para	
Lymantria novaguineensis	1.5	NOPARA	num_loc_no_para	
NolidaeGEN sp. AAH3366	1.5	NOPARA	num_loc_no_para	
Scopelodes nitens	1.5	NOPARA	num_loc_no_para	
Selepa discigera	1.5	NOPARA	num_loc_no_para	
Symmacra solidaria ochrea	1.5	NOPARA	num_loc_no_para	
Tabidia insanalis	1.5	NOPARA	num_loc_no_para	
Thyrididae	1.5	NOPARA	num_loc_no_para	
Chrysocraspeda nr. inundata	8	PAR	mean_num_no_para_loc	
Chrysocraspeda sp. AAC8547	8	PAR	mean_num_no_para_loc	
Idiophantis n. sp. AAB7063	8	PAR	mean_num_no_para_loc	
Idiophantis n. sp. AAB7064	8	PAR	mean_num_no_para_loc	
Jodis albifusa	8	PAR	mean_num_no_para_loc	
Lactura rhodographa	8	PAR	mean_num_no_para_loc	
Lactura sp. AAI2177	8	PAR	mean_num_no_para_loc	
Lambula sp. USNM5	8	PAR	mean_num_no_para_loc	
Limacodidae sp.LIMA007	8	PAR	mean_num_no_para_loc	
Lista carniola	8	PAR	mean_num_no_para_loc	
Loboschiza sp. AAI1072	8	PAR	mean_num_no_para_loc	
Adoxophyes thoracica	1.5	NOPARA	mean_num_no_para_loc	
Philiris moira	1.5	NOPARA	mean_num_no_para_loc	
Lymantriidae sp.LYMA045	8	PAR	mean_num_no_para_loc	
Macroglossum melas pullius	8	PAR	mean_num_no_para_loc	
Macrothyma sanguinolenta	8	PAR	mean_num_no_para_loc	
Mecistoptera n. sp. AAB6947	8	PAR	mean_num_no_para_loc	
Mecistoptera sophiewagnerae	8	PAR	mean_num_no_para_loc	
Meekiaria nigriscriptalis	8	PAR	mean_num_no_para_loc	
Arhopala sp. ABZ4430	1.6	NOPARA	num_loc_no_para	
Arna	1.6	NOPARA	num_loc_no_para	
Cryptoblabes sp. AAG0395	1.6	NOPARA	num_loc_no_para	
Gnathothlibus heliodes	1.6	NOPARA	num_loc_no_para	
Chrysocraspeda rothschildi?	1.6	NOPARA	num_loc_no_para	
Idiophantis n. sp. AAB7064	1.6	NOPARA	num_loc_no_para	
Jodis sp. AAO0087	1.6	NOPARA	num_loc_no_para	
Lactura rhodographa	1.6	NOPARA	num_loc_no_para	
Macarostola sp. AAI1171	1.6	NOPARA	num_loc_no_para	
Parotis hilaralis	1.6	NOPARA	num_loc_no_para	
PterophoridaeGEN sp. AAG1468	1.6	NOPARA	num_loc_no_para	
Pterophorus albidus	1.6	NOPARA	num_loc_no_para	
Tipasa sp. GEOM158	1.6	NOPARA	num_loc_no_para	
Xylinophylla maculata	1.6	NOPARA	num_loc_no_para	
Meekiaria nr. lignea	8	PAR	mean_num_no_para_loc	
Meekiaria sp. AAA3375	8	PAR	mean_num_no_para_loc	
Meekiaria sp. AAA3376	8	PAR	mean_num_no_para_loc	
Meekiaria sp. AAA3378	8	PAR	mean_num_no_para_loc	
Arctornis nr. intacta 1 SEM-2008	1.6	NOPARA	mean_num_no_para_loc	
Meekiaria sp. AAA3380	8	PAR	mean_num_no_para_loc	
Meekiaria sp. CRAM151	8	PAR	mean_num_no_para_loc	
Mellea hieroglyphica	8	PAR	mean_num_no_para_loc	
Mellea rectiviata	8	PAR	mean_num_no_para_loc	
Mellea sp. AAI1457	8	PAR	mean_num_no_para_loc	
Mellea sp. AAI1460	8	PAR	mean_num_no_para_loc	
Cangetta cf. rectilinea	1.7	NOPARA	num_loc_no_para	
Meekiaria sp. AAJ1732	1.7	NOPARA	num_loc_no_para	
Mellea sp. AAI1461	8	PAR	mean_num_no_para_loc	
Mellea sp.near rectiviata	8	PAR	mean_num_no_para_loc	
Moca congrualis	8	PAR	mean_num_no_para_loc	
Noctuidae sp.NOCT061	8	PAR	mean_num_no_para_loc	
NolidaeGEN sp. AAH3367	8	PAR	mean_num_no_para_loc	
Meekiaria nigriscriptalis	1.8	NOPARA	num_loc_no_para	
Orvasca sp. AAG9398	1.8	NOPARA	num_loc_no_para	
Perixera ampligutta	1.8	NOPARA	num_loc_no_para	
Roeselia hemizona	1.8	NOPARA	num_loc_no_para	
Macroglossum melas pullius	1.8	NOPARA	mean_num_no_para_loc	
Nothomastix klossi	8	PAR	mean_num_no_para_loc	
Albinospila sp. AAH9003	1.9	NOPARA	num_loc_no_para	
Brenthia sp. AAI3834	1.9	NOPARA	num_loc_no_para	
Cyclophora sp. AAF7884	1.9	NOPARA	num_loc_no_para	
Helcystogramma sp. AAI2045	1.9	NOPARA	num_loc_no_para	
Chrysocraspeda praegriseata	1.9	NOPARA	num_loc_no_para	
Imma sp. AAD4328	1.9	NOPARA	num_loc_no_para	
Thosea monoloncha?	1.9	NOPARA	num_loc_no_para	
Zygaenosia sp. USNM1	1.9	NOPARA	num_loc_no_para	
Nycteola n. sp. AAB7439	8	PAR	mean_num_no_para_loc	
Nycteola nr. pseudoindica	8	PAR	mean_num_no_para_loc	
OecophoridaeGEN sp. AAH7348	8	PAR	mean_num_no_para_loc	
Orvasca sp. AAD8421	8	PAR	mean_num_no_para_loc	
Philiris sp. AAF6866	8	PAR	mean_num_no_para_loc	
Piletocera sp. CRAM094	8	PAR	mean_num_no_para_loc	
Agriophara sp. AAD4601	2	NOPARA	num_localities	
Agrotera sp. AAJ7071	2	NOPARA	num_localities	
Arhopala sp. ABZ4430	2	NOPARA	num_localities	
Arna	2	NOPARA	num_localities	
Artaxa sp. AAB8719	2	NOPARA	num_localities	
Brenthia sp. AAI3834	2	NOPARA	num_localities	
Calindoea dorilusalis	2	NOPARA	num_localities	
Cangetta cf. rectilinea	2	NOPARA	num_localities	
CopromorphidaeGEN sp. AAG3732	2	NOPARA	num_localities	
Cotana sp. AAI6038	2	NOPARA	num_localities	
Cryptoblabes sp. AAG0395	2	NOPARA	num_localities	
Dichomeris sp. AAA9076	2	NOPARA	num_localities	
Eucyclodes sp. ACF0440	2	NOPARA	num_localities	
Gnathothlibus heliodes	2	NOPARA	num_localities	
Gymnasura sp. USNM2	2	NOPARA	num_localities	
Helcystogramma sp. AAI2045	2	NOPARA	num_localities	
Hyposidra	2	NOPARA	num_localities	
Chrysocraspeda praegriseata	2	NOPARA	num_localities	
Chrysocraspeda rothschildi?	2	NOPARA	num_localities	
Idiophantis	2	NOPARA	num_localities	
Idiophantis n. sp. AAB7064	2	NOPARA	num_localities	
Idiophantis n. sp. AAZ1655	2	NOPARA	num_localities	
Imma sp. AAD4328	2	NOPARA	num_localities	
Jodis sp. AAO0087	2	NOPARA	num_localities	
Lactura rhodographa	2	NOPARA	num_localities	
Lambula agraphia	2	NOPARA	num_localities	
Loboschiza	2	NOPARA	num_localities	
Lophopepla sp. AAI1091	2	NOPARA	num_localities	
Lymantria novaguineensis	2	NOPARA	num_localities	
Macarostola sp. AAI1171	2	NOPARA	num_localities	
Meekiaria nigriscriptalis	2	NOPARA	num_localities	
Meekiaria sp. AAJ1732	2	NOPARA	num_localities	
Mellea sp.near rectiviata	2	NOPARA	num_localities	
Noctuidae sp.NOCT097	2	NOPARA	num_localities	
Nolidae sp.TORT194	2	NOPARA	num_localities	
NolidaeGEN sp. AAH3366	2	NOPARA	num_localities	
Nudaria sp. USNM2	2	NOPARA	num_localities	
OecophorinaeGEN sp. AAF9711	2	NOPARA	num_localities	
Orvasca sp. AAG9398	2	NOPARA	num_localities	
Parotis hilaralis	2	NOPARA	num_localities	
Peritornenta	2	NOPARA	num_localities	
Perixera ampligutta	2	NOPARA	num_localities	
PterophoridaeGEN sp. AAG1468	2	NOPARA	num_localities	
Pterophorus albidus	2	NOPARA	num_localities	
Roeselia hemizona	2	NOPARA	num_localities	
Sarobides inconclusa	2	NOPARA	num_localities	
Scopelodes nitens	2	NOPARA	num_localities	
Selepa discigera	2	NOPARA	num_localities	
Symmacra solidaria ochrea	2	NOPARA	num_localities	
Tabidia insanalis	2	NOPARA	num_localities	
Targalla suffundens	2	NOPARA	num_localities	
Thyrididae	2	NOPARA	num_localities	
Tipasa sp. GEOM158	2	NOPARA	num_localities	
Uraniidae sp.URAN012	2	NOPARA	num_localities	
Xylinophylla maculata	2	NOPARA	num_localities	
Agriophara sp. AAD4601	2	NOPARA	num_loc_no_para	
Calindoea dorilusalis	2	NOPARA	num_loc_no_para	
CopromorphidaeGEN sp. AAG3732	2	NOPARA	num_loc_no_para	
Homona spargotis	2	NOPARA	num_loc_no_para	
Mellea sp.near rectiviata	2	NOPARA	num_loc_no_para	
NoctuidaeGEN sp. AAG0293	2	NOPARA	num_loc_no_para	
OecophoridaeGEN sp. AAH7348	2	NOPARA	num_loc_no_para	
OecophorinaeGEN sp. AAF9711	2	NOPARA	num_loc_no_para	
Adoxophyes tripselia	2	NOPARA	mean_num_localities	
Agrotera ignepictoides	2	NOPARA	mean_num_localities	
Brenthia JR32	2	NOPARA	mean_num_localities	
Brenthia JR62	2	NOPARA	mean_num_localities	
Cyrestis acilia	2	NOPARA	mean_num_localities	
Homona mermerodes	2	NOPARA	mean_num_localities	
Meekiaria sp. AAA3375	2	NOPARA	mean_num_localities	
Mellea hieroglyphica	2	NOPARA	mean_num_localities	
Mellea ramifera	2	NOPARA	mean_num_localities	
Talanga deliciosa	2	NOPARA	mean_num_localities	
Talanga polyzonalis	2	NOPARA	mean_num_localities	
Mellea ramifera	2	NOPARA	mean_num_no_para_loc	
Talanga deliciosa	2	NOPARA	mean_num_no_para_loc	
Homona trachyptera	2.1	NOPARA	num_loc_no_para	
Adoxophyes tripselia	2.1	NOPARA	mean_num_no_para_loc	
AcontiinaeGEN sp. AAG0292	2.2	NOPARA	num_loc_no_para	
Arctornis sp. AAE6183	2.2	NOPARA	num_loc_no_para	
Homodes iomolybda	2.2	NOPARA	num_loc_no_para	
Imma monastica	2.2	NOPARA	num_loc_no_para	
Isotenes nr. miserana	2.2	NOPARA	num_loc_no_para	
Lambula sp. USNM5	2.2	NOPARA	num_loc_no_para	
Pleuroptya nr. sabinusalis	2.2	NOPARA	num_loc_no_para	
Pleuroptya nr. sabinusalis	8	PAR	mean_num_no_para_loc	
Mellea hieroglyphica	2.2	NOPARA	mean_num_no_para_loc	
Darantasia caerulescens	2.3	NOPARA	num_loc_no_para	
Gymnasura sp. USNM9	2.3	NOPARA	num_loc_no_para	
Nycteola indicatana	2.3	NOPARA	mean_num_no_para_loc	
Glyphodes doleschalii	2.4	NOPARA	num_loc_no_para	
Brenthia JR62	2.4	NOPARA	mean_num_no_para_loc	
Meekiaria sp. AAA3375	2.4	NOPARA	mean_num_no_para_loc	
Talanga polyzonalis	2.4	NOPARA	mean_num_no_para_loc	
Albinospila sp. AAB0432	2.5	NOPARA	num_loc_no_para	
Arctornis nr. intacta 2 SEM-2008	2.5	NOPARA	num_loc_no_para	
Lactura sp. AAI2177	2.5	NOPARA	num_loc_no_para	
Oenospila sp. AAD3332	2.5	NOPARA	num_loc_no_para	
Orvasca sp. ADH2494	2.5	NOPARA	num_loc_no_para	
Philiris sp. AAF6866	2.5	NOPARA	num_loc_no_para	
Pseudocera sp. AAB1481	8	PAR	mean_num_no_para_loc	
Hypomecis infaustaria	2.6	NOPARA	num_loc_no_para	
Chamaita pr. barnardi	2.6	NOPARA	num_loc_no_para	
Mellea sp. AAI1457	2.6	NOPARA	num_loc_no_para	
Mellea sp. AAI1461	2.6	NOPARA	num_loc_no_para	
Xenothictis gnetivora	2.6	NOPARA	mean_num_no_para_loc	
Addaea syndesma	2.7	NOPARA	num_loc_no_para	
Brenthia JR39	2.7	NOPARA	num_loc_no_para	
Homona auriga	2.7	NOPARA	num_loc_no_para	
Macroglossum inspida papuanum	2.7	NOPARA	num_loc_no_para	
Meekiaria sp. CRAM151	2.7	NOPARA	num_loc_no_para	
Paraphomia sp. AAI2622	2.7	NOPARA	num_loc_no_para	
Arctornis nr. intacta 4 SEM-2008	2.8	NOPARA	num_loc_no_para	
Dichomeris sp. AAB2697	2.8	NOPARA	num_loc_no_para	
Chamaita pr. metamelaena	2.8	NOPARA	num_loc_no_para	
Choreutis JR11	2.8	NOPARA	num_loc_no_para	
Orvasca sp. AAD8421	2.8	NOPARA	num_loc_no_para	
Brenthia JR32	2.8	NOPARA	mean_num_no_para_loc	
Homona mermerodes	2.8	NOPARA	mean_num_no_para_loc	
Agriophara sp. AAD4602	2.9	NOPARA	num_loc_no_para	
Mambara sp. AAK7402	2.9	NOPARA	num_loc_no_para	
Mecistoptera n. sp. AAB6947	2.9	NOPARA	num_loc_no_para	
AcontiinaeGEN sp. AAG0292	3	NOPARA	num_localities	
Addaea syndesma	3	NOPARA	num_localities	
Albinospila sp. AAB0432	3	NOPARA	num_localities	
Albinospila sp. AAH9003	3	NOPARA	num_localities	
Arctornis nr. intacta 2 SEM-2008	3	NOPARA	num_localities	
Arctornis sp. AAE6183	3	NOPARA	num_localities	
Brenthia JR39	3	NOPARA	num_localities	
