obs_id	proj_code	locality	CAT_sp	specificity_cat	fifty	remove_cat	singlecat	cat_5	plant	common_plants_only	five	PLANT_sp	obs_date	guild	para_obs_id	para_specimen_no	USNMNM	PAR_sp	plus	GENERAL	rarity	Par_remove	singlepara_1	host_sp	source_obs_id	family_par	specificity_par
161736	BETADIV	Yapsiei	Paraphomia disjuncta		1	0	0	1	MAA	Yes	0	Macaranga aleuritoides	30.01.2004	CAT											243410		
161737	BETADIV	Yapsiei	Paraphomia disjuncta		1	0	0	1	MAA	Yes	0	Macaranga aleuritoides	30.01.2004	CAT											243411		
161738	BETADIV	Yapsiei	Paraphomia disjuncta		1	0	0	1	MAA	Yes	0	Macaranga aleuritoides	19.02.2004	CAT											243412		
161739	BETADIV	Yapsiei	Paraphomia disjuncta		1	0	0	1	MAA	Yes	0	Macaranga aleuritoides	16.02.2004	CAT											243413		
161740	BETADIV	Yapsiei	Paraphomia disjuncta		1	0	0	1	MAA	Yes	0	Macaranga aleuritoides	13.02.2004	CAT											243414		
161741	BETADIV	Yapsiei	Paraphomia disjuncta		1	0	0	1	MAA	Yes	0	Macaranga aleuritoides	02.03.2004	CAT											243415		
161742	BETADIV	Yapsiei	Paraphomia disjuncta		1	0	0	1	MAA	Yes	0	Macaranga aleuritoides	13.02.2004	CAT											243416		
161743	BETADIV	Yapsiei	Paraphomia disjuncta		1	0	0	1	MAA	Yes	0	Macaranga aleuritoides	20.02.2004	CAT											243417		
161744	BETADIV	Yapsiei	Paraphomia disjuncta		1	0	0	1	MAA	Yes	0	Macaranga aleuritoides	16.02.2004	CAT											243418		
161745	BETADIV	Yapsiei	Paraphomia disjuncta		1	0	0	1	MAA	Yes	0	Macaranga aleuritoides	03.02.2004	CAT											243419		
161746	BETADIV	Yapsiei	Meekiaria sp. BOLD:AAA3374		1	0	0	1	PYR	No	0	Psychotria aff. ectasiphylla	17.02.2004	CAT											243420		
161747	BETADIV	Yapsiei	Meekiaria sp. BOLD:AAA3374		1	0	0	1	PYR	No	0	Psychotria aff. ectasiphylla	17.02.2004	CAT											243421		
161748	BETADIV	Yapsiei	Cirrhochrista xanthographis		0	0	0	1	COP	Yes	0	Ficus copiosa	24.02.2004	CAT											243422		
161749	BETADIV	Yapsiei	Talanga excelsalis		1	0	0	1	COP	Yes	0	Ficus copiosa	20.02.2004	CAT											243423		
161750	BETADIV	Yapsiei	Talanga excelsalis		1	0	0	1	COP	Yes	0	Ficus copiosa	11.02.2004	CAT											243424		
161751	BETADIV	Yapsiei	Talanga excelsalis		1	0	0	1	COP	Yes	0	Ficus copiosa	07.02.2004	CAT											243425		
161752	BETADIV	Yapsiei	Talanga excelsalis		1	0	0	1	COP	Yes	0	Ficus copiosa	28.01.2004	CAT											243426		
161753	BETADIV	Yapsiei	Talanga excelsalis		1	0	0	1	COP	Yes	0	Ficus copiosa	03.02.2004	CAT											243427		
161754	BETADIV	Yapsiei	Talanga excelsalis		1	0	0	1	COP	Yes	0	Ficus copiosa	06.02.2004	CAT											243428		
161755	BETADIV	Yapsiei	Talanga excelsalis		1	0	0	1	COP	Yes	0	Ficus copiosa	27.01.2004	CAT											243429		
161756	BETADIV	Yapsiei	Talanga excelsalis		1	0	0	1	COP	Yes	0	Ficus copiosa	24.02.2004	CAT											243430		
161757	BETADIV	Yapsiei	Talanga excelsalis		1	0	0	1	COP	Yes	0	Ficus copiosa	24.02.2004	CAT											243431		
161758	BETADIV	Yapsiei	Talanga excelsalis		1	0	0	1	COP	Yes	0	Ficus copiosa	03.03.2004	CAT											243432		
161759	BETADIV	Yapsiei	Talanga excelsalis		1	0	0	1	COP	Yes	0	Ficus copiosa	03.03.2004	CAT											243433		
161760	BETADIV	Yapsiei	Talanga excelsalis		1	0	0	1	COP	Yes	0	Ficus copiosa	27.01.2004	CAT											243434		
161761	BETADIV	Yapsiei	Talanga excelsalis		1	0	0	1	COP	Yes	0	Ficus copiosa	02.02.2004	CAT											243435		
161762	BETADIV	Yapsiei	Talanga excelsalis		1	0	0	1	COP	Yes	0	Ficus copiosa	24.02.2004	CAT											243436		
161763	BETADIV	Yapsiei	Talanga excelsalis		1	0	0	1	COP	Yes	0	Ficus copiosa	24.02.2004	CAT											243437		
161764	BETADIV	Yapsiei	Talanga excelsalis		1	0	0	1	COP	Yes	0	Ficus copiosa	03.03.2004	CAT											243438		
161765	BETADIV	Yapsiei	Talanga excelsalis		1	0	0	1	COP	Yes	0	Ficus copiosa	24.02.2004	CAT											243439		
161766	BETADIV	Yapsiei	Talanga excelsalis		1	0	0	1	COP	Yes	0	Ficus copiosa	25.02.2004	CAT											243440		
161767	BETADIV	Yapsiei	Talanga excelsalis		1	0	0	1	COP	Yes	0	Ficus copiosa	25.02.2004	CAT											243441		
161768	BETADIV	Yapsiei	Talanga excelsalis		1	0	0	1	COP	Yes	0	Ficus copiosa	27.02.2004	CAT											243442		
161769	BETADIV	Yapsiei	Talanga excelsalis		1	0	0	1	COP	Yes	0	Ficus copiosa	27.01.2004	CAT											243443		
161770	BETADIV	Yapsiei	Talanga excelsalis		1	0	0	1	COP	Yes	0	Ficus copiosa	06.02.2004	CAT											243444		
161771	BETADIV	Yapsiei	Talanga excelsalis		1	0	0	1	COP	Yes	0	Ficus copiosa	07.02.2004	CAT											243445		
161772	BETADIV	Yapsiei	Talanga excelsalis		1	0	0	1	COP	Yes	0	Ficus copiosa	06.02.2004	CAT											243446		
161773	BETADIV	Yapsiei	Talanga excelsalis		1	0	0	1	COP	Yes	0	Ficus copiosa	05.02.2004	CAT											243447		
161774	BETADIV	Yapsiei	Dichomeris ochreoviridella		1	0	0	1	MAS	Yes	0	Macaranga fallacina	22.01.2004	CAT											243448		
161775	BETADIV	Yapsiei	Glyphodes margaritaria		1	0	0	1	COP	Yes	0	Ficus copiosa	25.02.2004	CAT											243449		
161776	BETADIV	Yapsiei	Glyphodes margaritaria		1	0	0	1	COP	Yes	0	Ficus copiosa	25.02.2004	CAT											243450		
161777	BETADIV	Yapsiei	Glyphodes margaritaria		1	0	0	1	COP	Yes	0	Ficus copiosa	02.03.2004	CAT											243451		
161778	BETADIV	Yapsiei	Glyphodes margaritaria		1	0	0	1	BER	Yes	1	Ficus hahliana	04.02.2004	CAT											243452		
161779	BETADIV	Yapsiei	Meekiaria purpurea		1	0	0	1	PYB	No	0	Psychotria cf. hollandiae	16.02.2004	CAT											243453		
161780	BETADIV	Yapsiei	Meekiaria sp. BOLD:AAA3374		1	0	0	1	PYR	No	0	Psychotria aff. ectasiphylla	19.02.2004	CAT											243454		
161781	BETADIV	Yapsiei	Meekiaria sp. BOLD:AAA3374		1	0	0	1	PYR	No	0	Psychotria aff. ectasiphylla	06.02.2004	CAT											243455		
161782	BETADIV	Yapsiei	Meekiaria sp. BOLD:AAA3374		1	0	0	1	PYR	No	0	Psychotria aff. ectasiphylla	07.02.2004	CAT											243456		
161783	BETADIV	Yapsiei	Meekiaria sp. BOLD:AAA3374		1	0	0	1	PYR	No	0	Psychotria aff. ectasiphylla	10.03.2004	CAT											243457		
161784	BETADIV	Yapsiei	Meekiaria sp. BOLD:AAA3374		1	0	0	1	PYR	No	0	Psychotria aff. ectasiphylla	01.02.2004	CAT											243458		
